"COUNTY_NUM","CASETYPE","CASEYR","CASENUM","COUNTYNAME","CASE_ID"
"01","CI",11,5822,"Douglas","CI 01 11-5822"
"01","CI",11,5823,"Douglas","CI 01 11-5823"
"01","CI",11,5824,"Douglas","CI 01 11-5824"
"01","CI",11,5830,"Douglas","CI 01 11-5830"
"01","CI",11,5831,"Douglas","CI 01 11-5831"
"01","CI",11,5832,"Douglas","CI 01 11-5832"
"01","CI",11,5838,"Douglas","CI 01 11-5838"
"01","CI",11,5841,"Douglas","CI 01 11-5841"
"01","CI",11,5849,"Douglas","CI 01 11-5849"
"01","CI",11,5850,"Douglas","CI 01 11-5850"
"01","CI",11,5851,"Douglas","CI 01 11-5851"
"01","CI",11,5852,"Douglas","CI 01 11-5852"
"01","CI",11,5853,"Douglas","CI 01 11-5853"
"01","CI",11,5854,"Douglas","CI 01 11-5854"
"01","CI",11,5855,"Douglas","CI 01 11-5855"
"01","CI",11,5856,"Douglas","CI 01 11-5856"
"01","CI",11,5863,"Douglas","CI 01 11-5863"
"01","CI",11,5864,"Douglas","CI 01 11-5864"
"01","CI",11,5874,"Douglas","CI 01 11-5874"
"01","CI",11,5881,"Douglas","CI 01 11-5881"
"01","CI",11,5882,"Douglas","CI 01 11-5882"
"01","CI",11,5886,"Douglas","CI 01 11-5886"
"01","CI",11,5889,"Douglas","CI 01 11-5889"
"01","CI",11,5890,"Douglas","CI 01 11-5890"
"01","CI",11,5904,"Douglas","CI 01 11-5904"
"01","CI",11,5906,"Douglas","CI 01 11-5906"
"01","CI",11,5918,"Douglas","CI 01 11-5918"
"01","CI",11,5921,"Douglas","CI 01 11-5921"
"01","CI",11,5927,"Douglas","CI 01 11-5927"
"01","CI",11,5930,"Douglas","CI 01 11-5930"
"01","CI",11,5931,"Douglas","CI 01 11-5931"
"01","CI",11,5932,"Douglas","CI 01 11-5932"
"01","CI",11,5933,"Douglas","CI 01 11-5933"
"01","CI",11,5934,"Douglas","CI 01 11-5934"
"01","CI",11,5974,"Douglas","CI 01 11-5974"
"01","CI",11,6014,"Douglas","CI 01 11-6014"
"01","CI",11,6015,"Douglas","CI 01 11-6015"
"01","CI",11,6016,"Douglas","CI 01 11-6016"
"01","CI",11,6017,"Douglas","CI 01 11-6017"
"01","CI",11,6018,"Douglas","CI 01 11-6018"
"01","CI",11,6019,"Douglas","CI 01 11-6019"
"01","CI",11,6020,"Douglas","CI 01 11-6020"
"01","CI",11,6021,"Douglas","CI 01 11-6021"
"01","CI",11,6022,"Douglas","CI 01 11-6022"
"01","CI",11,6023,"Douglas","CI 01 11-6023"
"01","CI",11,6024,"Douglas","CI 01 11-6024"
"01","CI",11,6025,"Douglas","CI 01 11-6025"
"01","CI",11,6026,"Douglas","CI 01 11-6026"
"01","CI",11,6027,"Douglas","CI 01 11-6027"
"01","CI",11,6028,"Douglas","CI 01 11-6028"
"01","CI",11,6029,"Douglas","CI 01 11-6029"
"01","CI",11,6036,"Douglas","CI 01 11-6036"
"01","CI",11,6048,"Douglas","CI 01 11-6048"
"01","CI",11,6057,"Douglas","CI 01 11-6057"
"01","CI",11,6058,"Douglas","CI 01 11-6058"
"01","CI",11,6095,"Douglas","CI 01 11-6095"
"01","CI",11,6103,"Douglas","CI 01 11-6103"
"01","CI",11,6105,"Douglas","CI 01 11-6105"
"01","CI",11,6108,"Douglas","CI 01 11-6108"
"01","CI",11,6165,"Douglas","CI 01 11-6165"
"01","CI",11,6170,"Douglas","CI 01 11-6170"
"01","CI",11,6183,"Douglas","CI 01 11-6183"
"01","CI",11,6184,"Douglas","CI 01 11-6184"
"01","CI",11,6185,"Douglas","CI 01 11-6185"
"01","CI",11,6186,"Douglas","CI 01 11-6186"
"01","CI",11,6214,"Douglas","CI 01 11-6214"
"01","CI",11,6225,"Douglas","CI 01 11-6225"
"01","CI",11,6232,"Douglas","CI 01 11-6232"
"01","CI",11,6233,"Douglas","CI 01 11-6233"
"01","CI",11,6522,"Douglas","CI 01 11-6522"
"01","CI",11,6235,"Douglas","CI 01 11-6235"
"01","CI",11,6237,"Douglas","CI 01 11-6237"
"01","CI",11,6255,"Douglas","CI 01 11-6255"
"01","CI",11,6258,"Douglas","CI 01 11-6258"
"01","CI",11,6259,"Douglas","CI 01 11-6259"
"01","CI",11,6260,"Douglas","CI 01 11-6260"
"01","CI",11,6261,"Douglas","CI 01 11-6261"
"01","CI",11,6262,"Douglas","CI 01 11-6262"
"01","CI",11,6358,"Douglas","CI 01 11-6358"
"01","CI",11,6359,"Douglas","CI 01 11-6359"
"01","CI",11,6360,"Douglas","CI 01 11-6360"
"01","CI",11,6361,"Douglas","CI 01 11-6361"
"01","CI",11,6362,"Douglas","CI 01 11-6362"
"01","CI",11,6363,"Douglas","CI 01 11-6363"
"01","CI",11,6364,"Douglas","CI 01 11-6364"
"01","CI",11,6366,"Douglas","CI 01 11-6366"
"01","CI",11,6367,"Douglas","CI 01 11-6367"
"01","CI",11,6368,"Douglas","CI 01 11-6368"
"01","CI",11,6370,"Douglas","CI 01 11-6370"
"01","CI",11,6371,"Douglas","CI 01 11-6371"
"01","CI",11,6372,"Douglas","CI 01 11-6372"
"01","CI",11,6374,"Douglas","CI 01 11-6374"
"01","CI",11,6376,"Douglas","CI 01 11-6376"
"01","CI",11,6377,"Douglas","CI 01 11-6377"
"01","CI",11,6416,"Douglas","CI 01 11-6416"
"01","CI",11,6477,"Douglas","CI 01 11-6477"
"01","CI",11,6478,"Douglas","CI 01 11-6478"
"01","CI",11,6493,"Douglas","CI 01 11-6493"
"01","CI",11,6502,"Douglas","CI 01 11-6502"
"01","CI",11,6503,"Douglas","CI 01 11-6503"
"01","CI",11,6504,"Douglas","CI 01 11-6504"
"01","CI",11,6509,"Douglas","CI 01 11-6509"
"01","CI",11,6516,"Douglas","CI 01 11-6516"
"01","CI",11,6524,"Douglas","CI 01 11-6524"
"01","CI",11,6535,"Douglas","CI 01 11-6535"
"01","CI",11,6536,"Douglas","CI 01 11-6536"
"01","CI",11,6540,"Douglas","CI 01 11-6540"
"01","CI",11,6543,"Douglas","CI 01 11-6543"
"01","CI",11,6545,"Douglas","CI 01 11-6545"
"01","CI",11,6546,"Douglas","CI 01 11-6546"
"01","CI",11,6547,"Douglas","CI 01 11-6547"
"01","CI",11,6548,"Douglas","CI 01 11-6548"
"01","CI",11,6549,"Douglas","CI 01 11-6549"
"01","CI",11,6550,"Douglas","CI 01 11-6550"
"01","CI",11,6552,"Douglas","CI 01 11-6552"
"01","CI",11,6553,"Douglas","CI 01 11-6553"
"01","CI",11,6554,"Douglas","CI 01 11-6554"
"01","CI",11,6555,"Douglas","CI 01 11-6555"
"01","CI",11,6556,"Douglas","CI 01 11-6556"
"01","CI",11,6557,"Douglas","CI 01 11-6557"
